,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,0.0,10,0.0009563000000412103,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",10,0.1,5000
1,10,75.0,124,0.022019300000010844,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",10,0.1,5000
2,50,77.0,565,0.08309040000000323,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]",10,0.1,5000
3,250,93.0,2770,0.3636152999999922,"[0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]",10,0.1,5000
4,500,93.0,3441,0.4685562000000232,"[0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]",10,0.1,5000
5,1000,93.0,3441,0.4685562000000232,"[0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]",10,0.1,5000
6,5000,93.0,3441,0.4685562000000232,"[0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]",10,0.1,5000
7,0,0.0,10,0.0005628999999771622,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",10,0.25,5000
8,10,74.0,122,0.024718399999983376,"[1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",10,0.25,5000
9,50,82.0,564,0.09255549999994628,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",10,0.25,5000
10,250,93.0,2772,0.38987209999999095,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,0.25,5000
11,500,93.0,4389,0.6726535999999896,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,0.25,5000
12,1000,93.0,4389,0.6726535999999896,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,0.25,5000
13,5000,93.0,4389,0.6726535999999896,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,0.25,5000
14,0,0.0,10,0.0006043000000204302,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",10,0.5,5000
15,10,80.0,124,0.02763049999998657,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",10,0.5,5000
16,50,92.0,569,0.11979860000002418,"[0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]",10,0.5,5000
17,250,94.0,2771,0.41494990000001053,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,0.5,5000
18,500,94.0,3882,0.5706678999999895,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,0.5,5000
19,1000,94.0,3882,0.5706678999999895,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,0.5,5000
20,5000,94.0,3882,0.5706678999999895,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,0.5,5000
21,0,0.0,10,0.0005486000000018976,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",10,1.0,5000
22,10,83.0,123,0.0263023999999632,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]",10,1.0,5000
23,50,93.0,567,0.08731669999997393,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,1.0,5000
24,250,93.0,2624,0.3810846000000083,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,1.0,5000
25,500,93.0,2624,0.3810846000000083,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,1.0,5000
26,1000,93.0,2624,0.3810846000000083,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,1.0,5000
27,5000,93.0,2624,0.3810846000000083,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",10,1.0,5000
28,0,0.0,100,0.004741899999999077,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",100,0.1,5000
29,10,87.0,1115,0.1492659999999546,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]",100,0.1,5000
30,50,94.0,5160,0.6305891999999744,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.1,5000
31,250,94.0,23845,2.4966104999999743,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.1,5000
32,500,94.0,23845,2.4966104999999743,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.1,5000
33,1000,94.0,23845,2.4966104999999743,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.1,5000
34,5000,94.0,23845,2.4966104999999743,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.1,5000
35,0,0.0,100,0.003977399999996578,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",100,0.25,5000
36,10,91.0,1115,0.12076020000000653,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1]",100,0.25,5000
37,50,94.0,5158,0.524233200000026,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.25,5000
38,250,94.0,22732,2.289728500000024,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.25,5000
39,500,94.0,22732,2.289728500000024,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.25,5000
40,1000,94.0,22732,2.289728500000024,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.25,5000
41,5000,94.0,22732,2.289728500000024,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.25,5000
42,0,0.0,100,0.0036131999999611253,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",100,0.5,5000
43,10,90.0,1115,0.1193610999999919,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1]",100,0.5,5000
44,50,94.0,5159,0.5422566999999958,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.5,5000
45,250,94.0,22834,2.221660600000007,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.5,5000
46,500,94.0,22834,2.221660600000007,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.5,5000
47,1000,94.0,22834,2.221660600000007,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.5,5000
48,5000,94.0,22834,2.221660600000007,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,0.5,5000
49,0,0.0,100,0.0033246999999505533,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",100,1.0,5000
50,10,87.0,1114,0.11010549999997465,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",100,1.0,5000
51,50,94.0,5158,0.5450065999999651,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,1.0,5000
52,250,94.0,22934,2.469943799999953,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,1.0,5000
53,500,94.0,22934,2.469943799999953,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,1.0,5000
54,1000,94.0,22934,2.469943799999953,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,1.0,5000
55,5000,94.0,22934,2.469943799999953,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",100,1.0,5000
56,0,0.0,500,0.019136400000036247,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",500,0.1,5000
57,10,92.0,5516,0.5164948000000322,"[0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1]",500,0.1,5000
58,50,94.0,25558,2.3889794000000393,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.1,5000
59,250,94.0,107722,9.514067399999988,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.1,5000
60,500,94.0,107722,9.514067399999988,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.1,5000
61,1000,94.0,107722,9.514067399999988,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.1,5000
62,5000,94.0,107722,9.514067399999988,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.1,5000
63,0,0.0,500,0.017986199999995733,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",500,0.25,5000
64,10,90.0,5515,0.5246405999999979,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1]",500,0.25,5000
65,50,94.0,25558,2.5230143999999655,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.25,5000
66,250,94.0,108724,9.91553719999996,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.25,5000
67,500,94.0,108724,9.91553719999996,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.25,5000
68,1000,94.0,108724,9.91553719999996,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.25,5000
69,5000,94.0,108724,9.91553719999996,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.25,5000
70,0,0.0,500,0.017287000000010266,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",500,0.5,5000
71,10,91.0,5515,0.49047619999998915,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]",500,0.5,5000
72,50,94.0,25557,2.412568799999974,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.5,5000
73,250,94.0,112230,10.715368399999988,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.5,5000
74,500,94.0,112230,10.715368399999988,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.5,5000
75,1000,94.0,112230,10.715368399999988,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.5,5000
76,5000,94.0,112230,10.715368399999988,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,0.5,5000
77,0,0.0,500,0.016545699999994667,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",500,1.0,5000
78,10,91.0,5514,0.5461652999999842,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]",500,1.0,5000
79,50,94.0,25557,2.7460090999999807,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,1.0,5000
80,250,94.0,108222,11.2031652,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,1.0,5000
81,500,94.0,108222,11.2031652,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,1.0,5000
82,1000,94.0,108222,11.2031652,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,1.0,5000
83,5000,94.0,108222,11.2031652,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",500,1.0,5000
